sample,date,day,treatment,temperature,Env,replicate,SourceSink
EAG11160092BN,11/15/2016,11,1,10,11.1.10,A,sink
EAG11160093BN,11/15/2016,11,1,10,11.1.10,B,sink
EAG11160094BN,11/15/2016,11,1,10,11.1.10,C,sink
EAG11160095BN,11/15/2016,11,2,10,11.2.10,A,sink
EAG11160096BN,11/15/2016,11,2,10,11.2.10,B,sink
EAG11160097BN,11/15/2016,11,2,10,11.2.10,C,sink
EAG11160098BN,11/15/2016,11,3,10,11.3.10,A,sink
EAG11160099BN,11/15/2016,11,3,10,11.3.10,B,sink
EAG11160100BN,11/15/2016,11,3,10,11.3.10,C,sink
EAG11160101BN,11/15/2016,11,4,10,11.4.10,A,sink
EAG11160102BN,11/15/2016,11,4,10,11.4.10,B,sink
EAG11160103BN,11/15/2016,11,4,10,11.4.10,C,sink
EAG11160107BN,11/15/2016,11,1,20,11.1.20,A,sink
EAG11160108BN,11/15/2016,11,1,20,11.1.20,B,sink
EAG11160109BN,11/15/2016,11,1,20,11.1.20,C,sink
EAG11160110BN,11/15/2016,11,2,20,11.2.20,A,sink
EAG11160111BN,11/15/2016,11,2,20,11.2.20,B,sink
EAG11160112BN,11/15/2016,11,2,20,11.2.20,C,sink
EAG11160113BN,11/15/2016,11,3,20,11.3.20,A,sink
EAG11160114BN,11/15/2016,11,3,20,11.3.20,B,sink
EAG11160115BN,11/15/2016,11,3,20,11.3.20,C,sink
EAG11160116BN,11/15/2016,11,4,20,11.4.20,A,sink
EAG11160117BN,11/15/2016,11,4,20,11.4.20,B,sink
EAG11160118BN,11/15/2016,11,4,20,11.4.20,C,sink
EAG11160122BN,11/15/2016,11,1,30,11.1.20,A,sink
EAG11160123BN,11/15/2016,11,1,30,11.1.20,B,sink
EAG11160124BN,11/15/2016,11,1,30,11.1.20,C,sink
EAG11160125BN,11/15/2016,11,2,30,11.2.30,A,sink
EAG11160126BN,11/15/2016,11,2,30,11.2.30,B,sink
EAG11160127BN,11/15/2016,11,2,30,11.2.30,C,sink
EAG11160128BN,11/15/2016,11,3,30,11.3.30,A,sink
EAG11160129BN,11/15/2016,11,3,30,11.3.30,B,sink
EAG11160130BN,11/15/2016,11,3,30,11.3.30,C,sink
EAG11160131BN,11/15/2016,11,4,30,11.4.30,A,sink
EAG11160132BN,11/15/2016,11,4,30,11.4.30,B,sink
EAG11160133BN,11/15/2016,11,4,30,11.4.30,C,sink
EAG11160365BN,11/2/2016,1,S,S,Soil,A,source
EAG11160366BN,11/2/2016,1,S,S,Soil,B,source
EAG11160367BN,11/2/2016,1,S,S,Soil,C,source
EAG12160118BN,12/13/2016,39,1,10,39.1.10,A,sink
EAG12160119BN,12/13/2016,39,1,10,39.1.10,B,sink
EAG12160120BN,12/13/2016,39,1,10,39.1.10,C,sink
EAG12160121BN,12/13/2016,39,2,10,39.2.10,A,sink
EAG12160122BN,12/13/2016,39,2,10,39.2.10,B,sink
EAG12160123BN,12/13/2016,39,2,10,39.2.10,C,sink
EAG12160124BN,12/13/2016,39,3,10,39.3.10,A,sink
EAG12160125BN,12/13/2016,39,3,10,39.3.10,B,sink
EAG12160126BN,12/13/2016,39,3,10,39.3.10,C,sink
EAG12160127BN,12/13/2016,39,4,10,39.4.10,A,sink
EAG12160128BN,12/13/2016,39,4,10,39.4.10,B,sink
EAG12160129BN,12/13/2016,39,4,10,39.4.10,C,sink
EAG12160133BN,12/13/2016,39,1,20,39.1.20,A,sink
EAG12160134BN,12/13/2016,39,1,20,39.1.20,B,sink
EAG12160135BN,12/13/2016,39,1,20,39.1.20,C,sink
EAG12160136BN,12/13/2016,39,2,20,39.2.20,A,sink
EAG12160137BN,12/13/2016,39,2,20,39.2.20,B,sink
EAG12160138BN,12/13/2016,39,2,20,39.2.20,C,sink
EAG12160139BN,12/13/2016,39,3,20,39.3.20,A,sink
EAG12160140BN,12/13/2016,39,3,20,39.3.20,B,sink
EAG12160141BN,12/13/2016,39,3,20,39.3.20,C,sink
EAG12160142BN,12/13/2016,39,4,20,39.4.20,A,sink
EAG12160143BN,12/13/2016,39,4,20,39.4.20,B,sink
EAG12160144BN,12/13/2016,39,4,20,39.4.20,C,sink
EAG12160148BN,12/13/2016,39,1,30,39.1.20,A,sink
EAG12160149BN,12/13/2016,39,1,30,39.1.20,B,sink
EAG12160150BN,12/13/2016,39,1,30,39.1.20,C,sink
EAG12160151BN,12/13/2016,39,2,30,39.2.30,A,sink
EAG12160152BN,12/13/2016,39,2,30,39.2.30,B,sink
EAG12160153BN,12/13/2016,39,2,30,39.2.30,C,sink
EAG12160154BN,12/13/2016,39,3,30,39.3.30,A,sink
EAG12160155BN,12/13/2016,39,3,30,39.3.30,B,sink
EAG12160156BN,12/13/2016,39,3,30,39.3.30,C,sink
EAG12160157BN,12/13/2016,39,4,30,39.4.30,A,sink
EAG12160158BN,12/13/2016,39,4,30,39.4.30,B,sink
EAG12160159BN,12/13/2016,39,4,30,39.4.30,C,sink
LDF1,11/2/2016,1,C,C,Carcass,A,source
LDF2,11/2/2016,1,C,C,Carcass,B,source
LDF3,11/2/2016,1,C,C,Carcass,C,source
